Numero di conferimento;Materiale;Specie;Prova - Singola;Tecnica;Nr. di esami programmati;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso
10371;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;09/01/2008 00.00.00;15/01/2008 00.00.00;15/01/2008 00.00.00;18/01/2008 00.00.00;22/01/2008 00.00.00;22/01/2008 00.00.00;23/01/2008 00.00.00
54450;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;28/02/2008 00.00.00;03/03/2008 00.00.00;03/03/2008 00.00.00;12/03/2008 00.00.00;13/03/2008 00.00.00;13/03/2008 00.00.00;18/03/2008 00.00.00
49197;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;12/03/2008 00.00.00
49202;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;12/03/2008 00.00.00
49209;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;12/03/2008 00.00.00
49226;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;12/03/2008 00.00.00
49365;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;3;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;06/03/2008 00.00.00;11/03/2008 00.00.00;11/03/2008 00.00.00;12/03/2008 00.00.00
54562;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;23/02/2008 00.00.00;03/03/2008 00.00.00;03/03/2008 00.00.00;12/03/2008 00.00.00;13/03/2008 00.00.00;13/03/2008 00.00.00;18/03/2008 00.00.00
54571;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;23/02/2008 00.00.00;03/03/2008 00.00.00;03/03/2008 00.00.00;12/03/2008 00.00.00;13/03/2008 00.00.00;13/03/2008 00.00.00;18/03/2008 00.00.00
54572;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;21/02/2008 00.00.00;03/03/2008 00.00.00;03/03/2008 00.00.00;12/03/2008 00.00.00;13/03/2008 00.00.00;13/03/2008 00.00.00;18/03/2008 00.00.00
28091;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;1;31/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;14/02/2008 00.00.00;15/02/2008 00.00.00;15/02/2008 00.00.00;18/02/2008 00.00.00
28095;SANGUE;OVINO;Brucellosi ovina da B. ovis: anticorpi;FdC;2;26/01/2008 00.00.00;04/02/2008 00.00.00;04/02/2008 00.00.00;22/02/2008 00.00.00;26/02/2008 00.00.00;26/02/2008 00.00.00;27/02/2008 00.00.00
