Numero di conferimento;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso;Nr. di campioni accettati;Totale esami eseguiti;Anno di accettazione;Trimestre di registrazione;Mese di registrazione;Anno di registrazione;Trimestre di accettazione;Mese di accettazione;Anno di prelievo;Trimestre di prelievo;Mese di prelievo
123763;19/05/2009 00.00.00;19/05/2009 00.00.00;19/05/2009 00.00.00;;21/05/2009 00.00.00;21/05/2009 00.00.00;25/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
123766;18/05/2009 00.00.00;19/05/2009 00.00.00;19/05/2009 00.00.00;;21/05/2009 00.00.00;21/05/2009 00.00.00;25/05/2009 00.00.00;2;2;2009;2;5;2009;2;5;2009;2;5
123769;15/05/2009 00.00.00;19/05/2009 00.00.00;19/05/2009 00.00.00;;21/05/2009 00.00.00;21/05/2009 00.00.00;25/05/2009 00.00.00;2;2;2009;2;5;2009;2;5;2009;2;5
123772;18/05/2009 00.00.00;19/05/2009 00.00.00;19/05/2009 00.00.00;;21/05/2009 00.00.00;21/05/2009 00.00.00;25/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
126105;19/05/2009 00.00.00;20/05/2009 00.00.00;21/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
126106;19/05/2009 00.00.00;20/05/2009 00.00.00;21/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;2;;2009;2;5;2009;2;5;2009;2;5
126108;19/05/2009 00.00.00;20/05/2009 00.00.00;21/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;1;;2009;2;5;2009;2;5;2009;2;5
126109;19/05/2009 00.00.00;20/05/2009 00.00.00;21/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
126111;19/05/2009 00.00.00;20/05/2009 00.00.00;21/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;2;2;2009;2;5;2009;2;5;2009;2;5
127420;21/05/2009 00.00.00;21/05/2009 00.00.00;22/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
127423;21/05/2009 00.00.00;21/05/2009 00.00.00;22/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;27/05/2009 00.00.00;4;4;2009;2;5;2009;2;5;2009;2;5
128251;19/05/2009 00.00.00;22/05/2009 00.00.00;22/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;28/05/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
128253;21/05/2009 00.00.00;22/05/2009 00.00.00;22/05/2009 00.00.00;;26/05/2009 00.00.00;26/05/2009 00.00.00;28/05/2009 00.00.00;6;6;2009;2;5;2009;2;5;2009;2;5
