vn;dtprel;dtreg;dtconf;dtini;dtfine;mp;prova;laboratorio;code
2626;28/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;28/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2726;30/12/2012;02/01/2013;02/01/2013;03/01/2013;03/01/2013;MP 06/001 rev. 5;Trichinella;Sezione di Bergamo - Laboratorio Diagnostica Generale;2726MP 06/001 rev. 5
2626;30/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;02/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
2626;30/12/2012;03/01/2013;02/01/2013;02/01/2013;02/01/2013;Non codificato;Esame anatomopatologico animali piccola taglia (all.industriali);Sezione di Bergamo - Laboratorio Diagnostica Generale;2626Non codificato
