nconf;dreg;dtacc;dtfine;mp
30609;04/02/2013;01/02/2013;11/02/2013;MP 02/028 rev. 10
32633;06/02/2013;05/02/2013;11/02/2013;MP 02/028 rev. 10
34651;07/02/2013;07/02/2013;11/02/2013;MP 02/028 rev. 10
36874;11/02/2013;08/02/2013;11/02/2013;MP 02/028 rev. 10
36911;11/02/2013;08/02/2013;11/02/2013;MP 02/028 rev. 10
40337;14/02/2013;12/02/2013;14/02/2013;MP 02/028 rev. 10
10694;12/01/2013;12/01/2013;15/01/2013;MP 02/028 rev. 10
225356;07/09/2012;07/09/2012;24/10/2012;MP 02/028 rev. 10
225356;07/09/2012;07/09/2012;24/10/2012;MP 02/028 rev. 10
3968;07/01/2013;02/01/2013;07/01/2013;MP 02/028 rev. 10
3976;07/01/2013;07/01/2013;07/01/2013;MP 02/028 rev. 10
12027;14/01/2013;14/01/2013;15/01/2013;MP 02/028 rev. 10
4169;07/01/2013;07/01/2013;07/01/2013;MP 02/028 rev. 10
298529;12/11/2012;12/11/2012;12/11/2012;MP 02/028 rev. 10
301601;14/11/2012;13/11/2012;19/11/2012;MP 02/028 rev. 10
308789;20/11/2012;20/11/2012;22/11/2012;MP 02/028 rev. 10
319219;28/11/2012;28/11/2012;29/11/2012;MP 02/028 rev. 10
321758;30/11/2012;30/11/2012;06/12/2012;MP 02/028 rev. 10
340899;17/12/2012;17/12/2012;18/12/2012;MP 02/028 rev. 10
266809;15/10/2012;13/10/2012;18/10/2012;MP 02/028 rev. 10
269032;16/10/2012;16/10/2012;17/10/2012;MP 02/028 rev. 10
269985;17/10/2012;17/10/2012;17/10/2012;MP 02/028 rev. 10
280456;25/10/2012;25/10/2012;25/10/2012;MP 02/028 rev. 10
282152;26/10/2012;26/10/2012;26/10/2012;MP 02/028 rev. 10
287470;31/10/2012;31/10/2012;05/11/2012;MP 02/028 rev. 10
248548;28/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
253489;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254543;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
255378;04/10/2012;04/10/2012;04/10/2012;MP 02/028 rev. 10
261282;09/10/2012;09/10/2012;11/10/2012;MP 02/028 rev. 10
263258;11/10/2012;10/10/2012;11/10/2012;MP 02/028 rev. 10
234436;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
234445;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
234457;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
237685;19/09/2012;19/09/2012;19/09/2012;MP 02/028 rev. 10
245589;26/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
245889;26/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
221109;04/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222572;05/09/2012;05/09/2012;06/09/2012;MP 02/028 rev. 10
231173;13/09/2012;13/09/2012;13/09/2012;MP 02/028 rev. 10
234376;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
234392;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
234425;17/09/2012;17/09/2012;17/09/2012;MP 02/028 rev. 10
201317;08/08/2012;08/08/2012;13/08/2012;MP 02/028 rev. 10
207811;20/08/2012;20/08/2012;21/08/2012;MP 02/028 rev. 10
210432;22/08/2012;22/08/2012;23/08/2012;MP 02/028 rev. 10
210436;22/08/2012;22/08/2012;23/08/2012;MP 02/028 rev. 10
215898;29/08/2012;29/08/2012;29/08/2012;MP 02/028 rev. 10
220200;03/09/2012;03/09/2012;06/09/2012;MP 02/028 rev. 10
350467;28/12/2012;19/12/2012;28/12/2012;MP 02/028 rev. 10
350471;28/12/2012;19/12/2012;28/12/2012;MP 02/028 rev. 10
110970;30/04/2012;30/04/2012;30/04/2012;MP 02/028 rev. 10
110972;30/04/2012;30/04/2012;30/04/2012;MP 02/028 rev. 10
139513;29/05/2012;29/05/2012;01/06/2012;MP 02/028 rev. 10
195159;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
350377;28/12/2012;12/12/2012;17/12/2012;MP 02/028 rev. 10
350380;28/12/2012;13/12/2012;17/12/2012;MP 02/028 rev. 10
350383;28/12/2012;13/12/2012;17/12/2012;MP 02/028 rev. 10
350384;28/12/2012;07/12/2012;17/12/2012;MP 02/028 rev. 10
350386;28/12/2012;13/12/2012;17/12/2012;MP 02/028 rev. 10
350456;28/12/2012;19/12/2012;28/12/2012;MP 02/028 rev. 10
